category|region|language|mkt|query
global_market|global|en|en-US|global AI data center market trends 2025 report
global_market|global|en|en-US|AI data center electricity demand forecast 2030 report
global_market|global|en|en-US|site:iea.org data centers AI electricity demand 2030
global_market|global|en|en-US|hyperscale data center market outlook AI power demand
global_market|global|en|en-US|GPU cluster data center power demand report
us_power|US|en|en-US|site:energy.gov data center energy usage report 2024 LBNL
us_power|US|en|en-US|site:lbl.gov data center electricity usage report AI 2024
us_power|US|en|en-US|site:eia.gov Alaska industrial electricity price data center
us_power|US|en|en-US|site:ferc.gov large load data center interconnection
us_power|US|en|en-US|site:nerc.com data center large load reliability
us_policy|US|en|en-US|site:sam.gov AFCEC-26-R-0006 AI Data Center Alaska
us_policy|US|en|en-US|Department of the Air Force AI Data Center Alaska RFLP
us_policy|US|en|en-US|Joint Base Elmendorf Richardson AI data center lease
us_policy|US|en|en-US|Eielson Air Force Base AI data center lease
us_policy|US|en|en-US|Clear Space Force Station AI data center lease
alaska_energy|Alaska|en|en-US|site:akenergyauthority.org Railbelt transmission plan Alaska data center
alaska_energy|Alaska|en|en-US|site:rca.alaska.gov data center power Alaska
alaska_energy|Alaska|en|en-US|Alaska Railbelt transmission data center power demand
alaska_energy|Alaska|en|en-US|Alaska Energy Authority Railbelt transmission large load
alaska_site|Alaska|en|en-US|site:matsugov.us Port MacKenzie industrial land data center
alaska_site|Alaska|en|en-US|Matanuska Susitna Borough industrial land Port MacKenzie data center
alaska_site|Alaska|en|en-US|Alaska data center permitting NEPA wetlands water
alaska_climate|Alaska|en|en-US|site:noaa.gov Anchorage climate data wet bulb data center cooling
alaska_risk|Alaska|en|en-US|site:usgs.gov Cascadia fault submarine cable Alaska
alaska_risk|Alaska|en|en-US|site:usgs.gov Alaska Aleutian subduction zone submarine cable
alaska_fiber|Alaska|en|en-US|site:ntia.gov Alaska broadband fiber
alaska_fiber|Alaska|en|en-US|site:fcc.gov Alaska submarine cable landing license
alaska_fiber|Alaska|en|en-US|Alaska subsea cable capacity GCI ACS MTA
alaska_fiber|Alaska|en|en-US|AlCan ONE Alaska Canada overland fiber
alaska_fiber|Alaska|en|en-US|Alaska Washington subsea fiber cable 240 Tbps
transpacific_fiber|APAC|en|en-US|Arctic fiber optic cable Alaska Japan Korea
transpacific_fiber|APAC|en|en-US|Far North Fiber Alaska Japan Europe
transpacific_fiber|APAC|en|en-US|subsea cable latency Seoul Tokyo Anchorage Seattle
transpacific_fiber|APAC|en|en-US|trans-Pacific fiber Alaska Japan Korea data center
korea_policy|Korea|ko|ko-KR|site:msit.go.kr 국가 AI 컴퓨팅 센터
korea_policy|Korea|ko|ko-KR|site:msit.go.kr AI 컴퓨팅 인프라 데이터센터
