file,insights
1d4753f5603cdfed_e2f6931cbc.txt,POWER: power demand; POWER: electricity demand; COOLING: PUE; COOLING: water usage; GOVERNMENT: national security; AI: hyperscale
8b8ab7cfc537e2fa_6bec0f31b8.txt,FIBER: subsea
8bb69aadf091c2a0_df9cb3c346.txt,COOLING: PUE
1af5b441a64a9e48_d8aa952542.txt,POWER: power demand; AI: hyperscale
17e59495859ac49d_8e32da3f2c.txt,GOVERNMENT: critical infrastructure; GOVERNMENT: national security
64ad78a52e7acfc1_e4e44a1dbc.txt,COOLING: PUE
https___www.ndc.gov.tw_en_Content_List.aspx_n=E738D6D7DD31163F.txt,
https___english.www.gov.cn_news_202407_24_content_WS66a0b167c6d0868f4e8e96ba.html.txt,COOLING: PUE
f513d5a2260ce1c5_d4dd59a47d.txt,GOVERNMENT: national security
https___op.europa.eu_en_publication-detail_-_publication_83be4c3e-5c79-11f0-a9d0-01aa75ed71a1_language-en.txt,
3cb7658889f70999_fdef51bd83.txt,COOLING: PUE; COOLING: cooling efficiency; COOLING: water usage
9aa35d0856cbc889_5cd7f46bcd.txt,POWER: power demand; POWER: electricity demand; COOLING: PUE; AI: hyperscale
803e76b93e3142e7_3188fe6027.txt,
8b472f86bd50ee2e_e30f870f2e.txt,
10d65df248f026ea_b080b1a93b.txt,POWER: electricity demand; COOLING: PUE
0b84f8529ab25218_958dec702f.txt,
54f203cf1f4e8eb2_31773299e9.txt,GOVERNMENT: national security
08b5ba35facfc7a0_12afe27853.txt,
https___www.energy.gov_articles_doe-releases-new-report-evaluating-increase-electricity-demand-data-centers.txt,POWER: electricity demand; GOVERNMENT: critical infrastructure
98b4c3b2ffdb2752_cde50ac014.txt,POWER: electricity demand
e43df2beb1e954c0_36c563bec2.txt,AI: AI infrastructure
fc7e2f8f688efdbe_d150b05cb3.txt,
e2dfab025759ac1c_7b7ae0b589.txt,AI: hyperscale; AI: compute demand
1d6851ee35c4752f_23095cbf5f.txt,POWER: transmission bottleneck; FIBER: subsea
8f909d64ef60dc3e_ea0482309e.txt,GOVERNMENT: national security
27d1683db89ed6a3_b22a398627.txt,
51171857bec81354_83187f7f66.txt,POWER: power demand; COOLING: PUE
https___en.ndrc.gov.cn_news_mediarusources_202202_t20220218_1315947.html.txt,
e32b7232f9842279_656d66de28.txt,GOVERNMENT: national security
0c7d90e41972c887_40de3e594b.txt,
ab1f67ac3bbccaac_7ff6c13a5a.txt,FIBER: subsea; GOVERNMENT: critical infrastructure; GOVERNMENT: national security
1242fbef0e858c2f_114392cb75.txt,
https___www.iea.org_reports_energy-and-ai.txt,
a560d8b1fad8b663_5d1260851a.txt,AI: hyperscale
5fa11a8c30859a43_9919fd1488.txt,POWER: electricity demand; COOLING: PUE; COOLING: water usage
a5d699ab42ab576b_c33986d6e1.txt,COOLING: PUE
0d19c0586e4fe7a5_52e04ad477.txt,FIBER: subsea; GOVERNMENT: critical infrastructure; GOVERNMENT: national security
9e261f100525de32_025ef9cf42.txt,FIBER: subsea; GOVERNMENT: national security
https___energy.ec.europa.eu_topics_energy-efficiency_energy-efficiency-targets-directive-and-rules_energy-efficiency-directive_energy-performance-data-centres_en.txt,
51ba373ace5b8615_7779d9276e.txt,GOVERNMENT: critical infrastructure
60fe3cfba609b532_fcf3ad07ac.txt,GOVERNMENT: critical infrastructure
e7783c47cafc9ed3_1c66b4d4f7.txt,GOVERNMENT: critical infrastructure
03d68355986b44a5_54f3ad4eee.txt,FIBER: subsea; GOVERNMENT: critical infrastructure; GOVERNMENT: national security; GOVERNMENT: strategic infrastructure; AI: hyperscale
84ddf9ddb91958f9_4ae33425ca.txt,
554df8ec25abc7bf_1e29135770.txt,AI: AI infrastructure
9980e5b9c59f0611_2abfb321a9.txt,
c4d366c31ff9a13c_d8fd116a16.txt,POWER: power demand; COOLING: PUE; AI: hyperscale
c0bb160cbe9c1041_e54fedba08.txt,COOLING: cold climate; GOVERNMENT: critical infrastructure; GOVERNMENT: national security
e0e951a1c0d28ca5_7a4e6e5297.txt,POWER: electricity demand; POWER: transmission bottleneck; GOVERNMENT: national security
48b68afabf706bc8_c29b595872.txt,
ca2d3d8123c2653a_dbd4a4be4b.txt,FIBER: subsea; GOVERNMENT: critical infrastructure; GOVERNMENT: national security
37504076ba469a4f_9a813fdfc5.txt,FIBER: subsea; COOLING: PUE; GOVERNMENT: critical infrastructure
7caca2ddcac0e653_e50eb4fbc5.txt,GOVERNMENT: national security
f991e9104b616f8f_cfff6a9c88.txt,
266fc0d814f29ce7_4654cd613c.txt,
5c1a8a2050548fe6_02f4773b03.txt,
