source,relation,target,sentence,file
AI,related_to,power," Time series of node-level power demand during Llama-70B training across
8 nodes at Sustainable Metal Cloud",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," Simulated PUE and WUE (site) ranges by data center cooling system and
space type",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," Aggregate PUE and WUE across space type categories considering the facility
locations and mix of cooling systems present in 2023",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,PUE," Model Assumptions Regarding the Major Determinates of PUE and WUE by
Data Center Space Type/AI ",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," In 2017,
the overall server installed base started growing and Graphic Processing Unit (GPU)-
accelerated servers for artificial intelligence (AI) became a significant enough portion of the
data center server stock that total data center electricity use began to increase again, such that
by 2018 data centers consumed about 76 TWh, representing 1",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Average operational
practices for GPU-accelerated servers represent how much computational power, and how
often AI hardware in the installed base is used, to meet AI workload demand",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,cooling," The efficiency strategies that
allowed the industry to avoid increased energy needs during this period included improved
cooling and power management, increased server utilization rates, increased computational
efficiencies, and reduced server idle power",1d4753f5603cdfed_e2f6931cbc.txt
AI,requires,power," This
method avoids overestimation that can be caused by tracking data center load for projects that



                                            2024 United States Data Center Energy Usage Report 6
have not yet selected a power provider, but requires many inputs and assumptions developed
from limited publicly available data, proprietary market analyst data, and review by industry
representatives and stakeholders",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,PUE,",    energy consumption       may factor in
                          power usage                                        energy efficiency
                          effectiveness (PUE)                                improvements and
                        • Installed                                          growth in data
                          base/equipment                                     volumes or
                          shipment values                                    customer n",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,cooling,", the       • Energy efficiency
                         (GPUs), liquid cooling     number of internet        improvements, e",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,",



                                             2024 United States Data Center Energy Usage Report 9
                            PUE improvements             • Energy efficiency             or server power
                            or server power draw           improvements                  draw improvements
                            improvements                   (usually broad
                                                           because of the lack of
                            ",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," Institutions
specializing in projecting energy use (IEA 2017) or IT power specifically (Nelson 2022) have
also updated previous analyses to incorporate AI investment (IEA 2024a; IEA 2024b; Avelar
and Donovan 2023)",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,cooling," Section 4 then describes the different data center types considered in
this study, how IT equipment is allocated across those space types, and the modeling of non-IT
power and water demands (namely from the cooling systems) to estimate site power usage
effectiveness (PUE) and water usage effectiveness (WUE)",1d4753f5603cdfed_e2f6931cbc.txt
cooling,related_to,PUE," The PUE and WUE models consider assumptions for the
types of cooling systems present at different types of data centers, as well as the locations of
data centers and therefore the average surrounding weather conditions",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," These assumptions
are paired with the results from a detailed, physics-based model of cooling electricity demand,
which also accounts for ancillary electrical demands such as lighting and uninterruptible power
supplies (UPS) to estimate the average PUE and WUE for different types of data centers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,cooling," Key updates include extensive
quantification and characterization of accelerated servers used for AI applications, consideration
of various cooling system types and outdoor temperatures when modeling PUE and WUE,
calculation of carbon and water footprint of electricity consumed based on local grid mixes, and
an estimate of electricity demand from cryptocurrency mining",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," This uncertainty is magnified with the recent
rapid growth in accelerator shipments, which significantly affect total electricity use values given
the current and anticipated power demand of GPU chips",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," The scenarios are based on possible variations in future accelerator shipments, the
operational time for AI servers, the operational power draw of AI servers, and the efficiency of
specific data center cooling systems",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," IT Equipment Installed Based and Power Draw
Server Types
Servers are split into two main categories: conventional and AI specialized servers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Within the AI accelerated category, servers are split into three
groups based on the number of GPUs shipped with the servers (either 2, 4, or 8)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Larger-scale
AI server configurations have been announced, namely the 72-GPU rack-scale GB200 from
NVIDIA (NVIDIA n",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power,"-a), but these are not yet being deployed and the power draw of these



                                            2024 United States Data Center Energy Usage Report 16
systems is expected to scale close to linearly from 8-GPU machines",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," This term is most relevant for AI training servers that have a
             relatively predictable power draw when they are doing a training run",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," The power metrics used in the



                                                   2024 United States Data Center Energy Usage Report 17
equation are straightforward and as defined above, and the operational time metric is the
fraction of time we expect servers to be actively conducting training runs (idle time is then 1-
operational time)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"1 shows the assumed power draw of operating conventional (non-AI) servers based
on the year and number of processors present",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"

While ultimately the average wattage from the SEED was used for the current wattage of
conventional servers, substantial analysis went into exploring additional data sources and
understanding the underlying trends and uncertainties in conventional server power draw",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"


AI Servers
For AI servers, the operational power draw is calculated as a fraction of the rated power of the
servers, which is shown by shipment year in the left panel of Figure 3",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power," These values are
based on the rated power for NVIDIA DGX 8-GPU systems shipped in each year, which are
then averaged based on the distribution of GPU shipments in each year",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power," For example, if in a
given year, 25% of shipped GPUS are in the NVIDIA A100 class, with a rated power of 6",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"

For non-accelerated AI servers, we assume that the power draw in 2023 is the 90th percentile
value of the dual processor server power in the SERT database, then follows same linear trend
as dual processor servers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," This analysis found that across both single-node and multi-node AI training
workloads, 8 H100 GPU nodes averaged 74% of manufacturer rated thermal design power in
workload",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"
Accelerated Server Operational
Parameters                                                The consistent relationship between
The energy footprint of artificial intelligence (AI)      computational scale and AI capability
computation differs fundamentally from                    improvements suggests that efficiency gains will
traditional enterprise computing in several key           typically be reinvested in larger models rather
aspects that directly impact modeling                     than re",1d4753f5603cdfed_e2f6931cbc.txt
AI,creates,power," At its core, AI computation consists          However, the scale and capital intensity of these
of massive quantities of parallel matrix                  facilities creates strong incentives for operational
operations that create distinctive facility-level         efficiency, particularly in cooling and power
power demands when performed at scale",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU,"


This computational profile has led to a distinctive       We collected empirical power draw data for AI
hardware stack dominated by specialized                   training workloads on a current generation 8-
accelerators, primarily graphics processing units         H100 DGX node in collaboration with
(GPUs) for training workloads",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," Using
integration means that individual components              these measurements, we derived a statistical
can throttle others, creating characteristic load         estimate of average node power demand in
profiles; empirical measurements consistently             training for computationally saturated workloads
show that even in computationally intensive               of 7",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," Training involves intensive,         annualized workload demand at 70% of node
long-duration computation with relatively                 rated power",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," For a more detailed analysis of
predictable power draws, typically performed in           these techniques and a review of the relevant
dedicated facilities with specialized hardware",1d4753f5603cdfed_e2f6931cbc.txt
power,related_to,cooling," One finding from this work
optimization through facility siting and cooling          was the characteristic fluctuation in power
system design",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU,"
training energy use continues to evolve as



                                                  2024 United States Data Center Energy Usage Report 22
While training energy use has dominated                        interacting uncertainties: the energy efficiency of
historical analysis of AI's energy footprint due to            inference hardware, the mix of hardware types
its discrete, measurable nature, inference                     used (from ASICs to GPUs to CPUs), the scale
energy consumpti",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," Time series of node-level power demand during Llama-70B training across 8 nodes at
Sustainable Metal Cloud",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," The characteristic square-wave pattern of transformer architecture training is
evident, with regular drops in power demand across all nodes (e",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Power drops of individual nodes during compute intensive phases likely correspond to
throttling as GPUs or nodes await intermediate values from other processors",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," However, the                     timeframe and these uncertainties, we
actual energy impact will depend heavily on user               parameterized inference-related power demand
adoption patterns, hardware evolution, and                     as half of that during training",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power,"15
  Resnet 2
        (1)




                                                  2024 United States Data Center Energy Usage Report 25
Idle Power
The method for estimating server idle power varies slightly between AI servers and
conventional servers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," For conventional servers, idle power is calculated as a fraction of
maximum power that the servers draw during idle periods, while for AI servers, idle power is an
assumed fraction of the server’s rated power",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," This could imply
a functional lower bound for idle power, relative to maximum power, that will remain constant
into the future",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," For AI
servers, we assume idle power equal to 20% of the server’s rated power over the entire study
period, based on measurement data provided by Brookhaven National Laboratory (Latif et al",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power,"
2024) of an 8-GPU NVIDIA H100 node, which showed an idle power draw of approximately
18% of the manufacturer-rated maximum",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,power," As with the
operational power, we vary the operational time of training AI servers between 75% and 85%,
and inference AI servers between 37",1d4753f5603cdfed_e2f6931cbc.txt
GPU,related_to,power,"7, servers
with 8 GPUs exhibit the steepest increase, surpassing an annual average power of 5 kW by
2026, while 4-GPU and 2-GPU configurations rise more moderately, peaking above 2 kW and 1
kW, respectively",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU,"

AI Accelerated Server Shipments
The AI accelerated server installed base is estimated using IDC’s 2024 Q2 Data Center
Semiconductor Consumption Report (IDC 2024b), which contains annual data for historical and
forecasted CPU, GPU, and network switch shipments",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," The 2023 report also provides
estimated GPU shipments for the years 2017 to 2027, with each year broken out by AI activity


                                           2024 United States Data Center Energy Usage Report 28
– either training, inferencing, or both",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," The ratio of inferencing and training GPUs from 2017 to
2027 is extrapolated linearly to develop a ratio for 2028, then applied to the “Data Center
Semiconductor” shipment numbers",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," Additionally, estimates of the GPU shipment and the
proportion of servers with 2, 4, or 8 GPUs that were shipped globally from 2019 to 2027 were
obtained from Omdia Research (Omdia 2024)",1d4753f5603cdfed_e2f6931cbc.txt
AI,related_to,GPU," IDC’s GPU shipments are based on continued rapid growth in
the sales and manufacturing of GPUs, with the newer, higher, forecasts influenced by the
increased AI activity in the second half of 2024",1d4753f5603cdfed_e2f6931cbc.txt
