category|region|language|mkt|query
global_market|global|en|en-US|global AI data center market trends 2025 report filetype:pdf
global_market|global|en|en-US|AI data center electricity demand forecast 2030 report filetype:pdf
global_market|global|en|en-US|site:iea.org data centers AI electricity demand 2030 filetype:pdf
global_market|global|en|en-US|hyperscale data center market outlook AI power demand filetype:pdf
global_market|global|en|en-US|GPU cluster data center power demand report filetype:pdf
us_power|US|en|en-US|site:energy.gov data center energy usage report 2024 LBNL filetype:pdf
us_power|US|en|en-US|site:lbl.gov data center electricity usage report AI 2024 filetype:pdf
us_power|US|en|en-US|site:eia.gov Alaska industrial electricity price data center filetype:pdf
us_power|US|en|en-US|site:ferc.gov large load data center interconnection filetype:pdf
us_power|US|en|en-US|site:nerc.com data center large load reliability filetype:pdf
us_policy|US|en|en-US|site:sam.gov AFCEC-26-R-0006 AI Data Center Alaska filetype:pdf
us_policy|US|en|en-US|Department of the Air Force AI Data Center Alaska RFLP filetype:pdf
us_policy|US|en|en-US|Joint Base Elmendorf Richardson AI data center lease filetype:pdf
us_policy|US|en|en-US|Eielson Air Force Base AI data center lease filetype:pdf
us_policy|US|en|en-US|Clear Space Force Station AI data center lease filetype:pdf
alaska_energy|Alaska|en|en-US|site:akenergyauthority.org Railbelt transmission plan Alaska data center filetype:pdf
alaska_energy|Alaska|en|en-US|site:rca.alaska.gov data center power Alaska filetype:pdf
alaska_energy|Alaska|en|en-US|Alaska Railbelt transmission data center power demand filetype:pdf
alaska_energy|Alaska|en|en-US|Alaska Energy Authority Railbelt transmission large load filetype:pdf
alaska_site|Alaska|en|en-US|site:matsugov.us Port MacKenzie industrial land data center filetype:pdf
alaska_site|Alaska|en|en-US|Matanuska Susitna Borough industrial land Port MacKenzie data center filetype:pdf
alaska_site|Alaska|en|en-US|Alaska data center permitting NEPA wetlands water filetype:pdf
alaska_climate|Alaska|en|en-US|site:noaa.gov Anchorage climate data wet bulb data center cooling filetype:pdf
alaska_risk|Alaska|en|en-US|site:usgs.gov Cascadia fault submarine cable Alaska filetype:pdf
alaska_risk|Alaska|en|en-US|site:usgs.gov Alaska Aleutian subduction zone submarine cable filetype:pdf
alaska_fiber|Alaska|en|en-US|site:ntia.gov Alaska broadband fiber filetype:pdf
alaska_fiber|Alaska|en|en-US|site:fcc.gov Alaska submarine cable landing license filetype:pdf
alaska_fiber|Alaska|en|en-US|Alaska subsea cable capacity GCI ACS MTA filetype:pdf
alaska_fiber|Alaska|en|en-US|AlCan ONE Alaska Canada overland fiber filetype:pdf
alaska_fiber|Alaska|en|en-US|Alaska Washington subsea fiber cable 240 Tbps filetype:pdf
transpacific_fiber|APAC|en|en-US|Arctic fiber optic cable Alaska Japan Korea filetype:pdf
